Sl.No,Author,Tweets,Tweet_Type
0,ARIANAMMXVI,RT @freecumdress: Trump signing executive orders before he gets impeached like https://t.co/xdjBI4fk1A,Neutral
1,justinwonders,RT @thehyphykordei: fuck trump fuck pence! https://t.co/jHLlGjdFKn,Negative
2,TundraTabloids,RT @StefanMolyneux: President Trump just blocked Cuban refugees from seeking safe haven in United States. What a monster! Wait. That was Pr…,Positive
3,Frede_RickT,RT @satanseyebrows: 'Hey, Donald Trump! I wanna know why you're such a cunt!' https://t.co/7zkFF1LgSp,Neutral
4,mayor1012003,The YNaija Tracklist: Apostle Suleiman freed after DSS interrogation | Trump sacks defiant acting attorney general…… https://t.co/NP8Y5HJVzw,Neutral
5,tonymunoz31,RT @chelseahandler: The ACLU has received over $24M in donations. That’s $1 for everyone who attended Trump’s inauguration. &amp; then 23.7 mil…,Neutral
6,MexicoTime,Think tank: Trump's 'vilification' of Mexico will harm US - The Hill https://t.co/nGAOMcbflM,Neutral
7,breaniewrdvomit,RT @JoyAnnReid: To review: Trump is either firing or sidelining the top officials (military, State, AG, ICE) who might stand in the way of…,Positive
8,alexander14rm,Trump nombra un nuevo jefe del Servicio de Inmigración y Control de Aduanas de EE.UU. https://t.co/LoIeN2eV57,Neutral
9,Barce_ecrab,RT @nytimes: Some Muslim countries unaffected by Trump's immigration ban are conspicuously silent https://t.co/JjgcGvxPLU,Negative
10,TrashgodDave,Trump's immigration executive order: Separating fact from sickening media fiction https://t.co/LTSoP7MdOd,Negative
11,eplus24,GN: Trump odwołał prokurator generalną: Prezydent Donald Trump odwołał pełniącą obowiązki ministra sprawiedliwości… https://t.co/R2YAjhT8yO,Neutral
12,TrapGirlsEnt,President Trump Fires Acting Attorney General Sally Yates https://t.co/y966tZjqHi via #KlubXclusive https://t.co/6B904oilRO,Positive
13,Karrrrli,RT @chelseahandler: The ACLU has received over $24M in donations. That’s $1 for everyone who attended Trump’s inauguration. &amp; then 23.7 mil…,Neutral
14,ybenbio,L'humanité répond à @realDonaldTrump. Rejoignez la lettre ouverte à #Trump dont on parle partout! https://t.co/LFn5olTfgN,Neutral
15,RevueltaMesa,México advirtió a Trump con importar granos de Brasil y Argentina en vez de EEUU https://t.co/AHuywuEDaZ https://t.co/bxtQct8MeE,Neutral
16,dodgerfan427,RT @thehyphykordei: fuck trump fuck pence! https://t.co/jHLlGjdFKn,Negative
17,glogirl92,Trump executive order requires agencies eliminate 2 regulations for each they propose https://t.co/eGjHrXjkVr They're Illegit Orders!,Neutral
18,OfficialFigi,RT @bretmanrock: Im not saying Donald Trump is a spawn of Satan

but shit, that bitch is a spawn of Satan...,Negative
19,ChaseCarbon,nytimes: Breaking News: President Trump has fired the acting attorney general Sally Yates  https://t.co/nweFs918Dd,Positive
20,RemingtonWild,RT @historyinflicks: Quebec shooter Alexandre Bissonnette held sympathies for terrorist group "MAGA" and pledged allegiance to radical hate…,Neutral
21,Forextrade3,Dollar slips amid Trump's hardening policy defence, yen benefits - Reuters https://t.co/4Jcq3J9sWl,Neutral
22,Libraryreport,Principles, Values, and the Academic Library in the Age of Trump - Inside Higher Ed (blog) https://t.co/OQN0j4NDMi,Positive
23,11Poetic,RT @dougf24: Here is Sen. Patrick Leahy's statement condemning #Trump decision to fire acting #AttorneyGeneral, #SallyYates : https://t.co/…,Neutral
24,DavidAngel,RT @MikeSmythNews: Trump advisor Steve Bannon wants to "destroy the state"; believes "bloody and brutal" global conflict is brewing. https:…,Negative
25,markbairden,RT @SheikhKhalifaPM: Annoyed with myself for not thinking of "National Day of Patriotic Devotion" like Trump. I was too worried we'd be con…,Negative
26,JenniferScottxx,Trump state visit plan 'very difficult' for Queen https://t.co/HajPlEcgPC https://t.co/JLcXujgi8H,Negative
27,EstateVancouver,RT @MikeSmythNews: Trump advisor Steve Bannon wants to "destroy the state"; believes "bloody and brutal" global conflict is brewing. https:…,Negative
28,danpergaud7,RT @StephenKing: If only Donald Trump was 5% as good at governing as he is at firing people of conscience. His presidency is a joke. Sadly,…,Positive
29,saheebSYD,RT @CP24: JUST IN: U.S. President Donald Trump has fired acting Attorney General who ordered Justice Department lawyers to stop defending r…,Positive
30,_dannyyv,RT @imWaavey: "Hey, Donald Trump! I wanna know why you're such a cunt!" https://t.co/T3ByEhEfsv,Neutral
31,ohhighshy,RT @SenSanders: President Trump's Muslim ban is un-American, is unconstitutional and is going to make us less safe, not more safe. https://…,Positive
32,efairhurst,What Are These 'Trump Flags' About? https://t.co/zJx2hAqmLH,Neutral
33,AntinYantin,RT @MistralS: El estado de Washington, el primero en demandar a Trump por su medida migratoria https://t.co/qIWFYoAESI vía @elmundoes,Neutral
34,Beachfront,RT @CNN: Thousands of Londoners took to the streets to protest US President Donald Trump's new immigration policies https://t.co/7CKUETsR2I…,Positive
35,atusapus678,RT @GiGiNewsTH: Gigi และ Bella เข้าร่วมขบวนต่อต้านนโยบายของ ปธน. Donald Trump ในการแบนชาวมุสลิมและผู้ลี้ภัย รวมถึงการสร้างกำแพงที่ Mexico #…,Neutral
36,OnlyGeeBowski,@1JOSHLAFLARE i am not donald trump n i approve this message,Neutral
37,DParkerite,RT @ChicagoMGD: You wanted it @SenFeinstein Vote NO on Sessions, Tillerson, DeVos...let's make this easy. No on all Trump's nominee's. Sign…,Positive
38,toby_dorena,RT @andieiamwhoiam: Share if you support President TRUMP! https://t.co/GU5Sk3TZ4u,Neutral
39,carissam_,RT @attn: Members of the UK Parliament just condemned President Trump. https://t.co/5sIgVd3UM8,Neutral
40,rxpancakes,RT @Garossino: This is why Trump was probably disappointed so many white people came out to protest the #MuslimBan. Not the crowd he was ho…,Negative
41,laminechevillon,RT @fandetv: VIDEO @GeoffroyLejeune(@Valeurs) sur le décret anti-#immigration de #Trump : «Il est en train de faire exactement ce pour quoi…,Neutral
42,MisterPhisto,@OurRevolution @JohnFugelsang I am proud of her: she did her Duty, she even stayed on to help Trump. She is a Hero.,Positive
43,AliciaBeck20,RT @2020fight: Donald Trump needs Senate confirmation to allow Steve Bannon on the National Security Council.

Whoops.,Neutral
